START TIME:2024-03-11 16:03:19
Vd=-0000.300000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
1,5.334980e+00, -8.40000e-01, 3.06368e-04, -4.87566e-05
1,5.355030e+00, -8.30000e-01, 3.05653e-04, -5.59092e-05
1,5.375090e+00, -8.20000e-01, 3.12686e-04, -5.24521e-05
1,5.395140e+00, -8.10000e-01, 3.18527e-04, -4.99487e-05
1,5.415190e+00, -8.00000e-01, 3.06249e-04, -4.70877e-05
1,5.435240e+00, -7.90000e-01, 3.14474e-04, -5.85318e-05
1,5.455290e+00, -7.80000e-01, 3.17097e-04, -6.97374e-05
1,5.475340e+00, -7.70000e-01, 3.14116e-04, -7.86781e-05
1,5.495400e+00, -7.60000e-01, 3.24130e-04, -5.42402e-05
1,5.515450e+00, -7.50000e-01, 3.20196e-04, -5.23329e-05
1,5.535500e+00, -7.40000e-01, 3.26037e-04, -6.02007e-05
1,5.555550e+00, -7.30000e-01, 3.20196e-04, -5.56707e-05
1,5.575600e+00, -7.20000e-01, 3.13044e-04, -5.22137e-05
1,5.595660e+00, -7.10000e-01, 3.13640e-04, -5.07832e-05
1,5.615710e+00, -7.00000e-01, 3.12686e-04, -4.87566e-05
1,5.635760e+00, -6.90000e-01, 3.00646e-04, -7.33137e-05
1,5.655820e+00, -6.80000e-01, 3.07560e-04, -5.99623e-05
1,5.675870e+00, -6.70000e-01, 2.93374e-04, -5.17368e-05
1,5.695920e+00, -6.60000e-01, 3.04341e-04, -4.68493e-05
1,5.715970e+00, -6.50000e-01, 2.91348e-04, -5.53131e-05
1,5.736020e+00, -6.40000e-01, 2.98023e-04, -4.49419e-05
1,5.756080e+00, -6.30000e-01, 2.91348e-04, -2.44379e-05
1,5.776130e+00, -6.20000e-01, 2.91824e-04, -4.74453e-05
1,5.796180e+00, -6.10000e-01, 2.94328e-04, -3.91006e-05
1,5.816230e+00, -6.00000e-01, 3.01957e-04, -3.02792e-05
1,5.836280e+00, -5.90000e-01, 2.91824e-04, -3.29018e-05
1,5.856340e+00, -5.80000e-01, 2.91586e-04, -3.86238e-05
1,5.876390e+00, -5.70000e-01, 3.00527e-04, -1.97887e-05
1,5.896440e+00, -5.60000e-01, 2.99215e-04, -4.16040e-05
1,5.916490e+00, -5.50000e-01, 2.89679e-04, -5.71012e-05
1,5.936540e+00, -5.40000e-01, 3.07679e-04, -4.37498e-05
1,5.956600e+00, -5.30000e-01, 3.23892e-04, -5.13792e-05
1,5.976650e+00, -5.20000e-01, 3.29375e-04, -4.64916e-05
1,5.996700e+00, -5.10000e-01, 3.21627e-04, -5.11408e-05
1,6.016750e+00, -5.00000e-01, 3.16620e-04, -4.88758e-05
1,6.036800e+00, -4.90000e-01, 3.15309e-04, -4.36306e-05
1,6.056860e+00, -4.80000e-01, 3.05891e-04, -4.56572e-05
1,6.076910e+00, -4.70000e-01, 2.98142e-04, -4.31538e-05
1,6.096960e+00, -4.60000e-01, 2.85625e-04, -4.58956e-05
1,6.117010e+00, -4.50000e-01, 3.03626e-04, -5.13792e-05
1,6.137060e+00, -4.40000e-01, 2.97785e-04, -5.54323e-05
1,6.157120e+00, -4.30000e-01, 3.04341e-04, -5.69820e-05
1,6.177170e+00, -4.20000e-01, 2.96354e-04, -6.52075e-05
1,6.197220e+00, -4.10000e-01, 3.00884e-04, -4.86374e-05
1,6.217270e+00, -4.00000e-01, 2.98262e-04, -6.06775e-05
1,6.237330e+00, -3.90000e-01, 2.90871e-04, -4.51803e-05
1,6.257380e+00, -3.80000e-01, 2.96235e-04, -3.21865e-05
1,6.277430e+00, -3.70000e-01, 3.01242e-04, -4.52995e-05
1,6.297480e+00, -3.60000e-01, 2.93255e-04, -5.05447e-05
1,6.317530e+00, -3.50000e-01, 2.94328e-04, -5.12600e-05
1,6.337590e+00, -3.40000e-01, 2.95043e-04, -5.03063e-05
1,6.357640e+00, -3.30000e-01, 2.83957e-04, -5.59092e-05
1,6.377690e+00, -3.20000e-01, 3.02315e-04, -5.99623e-05
1,6.397740e+00, -3.10000e-01, 3.02911e-04, -5.51939e-05
1,6.417790e+00, -3.00000e-01, 3.10898e-04, -5.75781e-05
1,6.437850e+00, -2.90000e-01, 2.91944e-04, -4.25577e-05
1,6.457900e+00, -2.80000e-01, 2.88963e-04, -4.95911e-05
1,6.477950e+00, -2.70000e-01, 2.90155e-04, -5.38826e-05
1,6.498000e+00, -2.60000e-01, 2.90632e-04, -7.10487e-05
1,6.518060e+00, -2.50000e-01, 3.03507e-04, -5.50747e-05
1,6.538110e+00, -2.40000e-01, 2.95162e-04, -6.00815e-05
1,6.558160e+00, -2.30000e-01, 3.06249e-04, -6.72340e-05
1,6.578210e+00, -2.20000e-01, 3.08752e-04, -4.78029e-05
1,6.598260e+00, -2.10000e-01, 3.02076e-04, -5.93662e-05
1,6.618830e+00, -2.00000e-01, 2.95281e-04, -5.29289e-05
1,6.638880e+00, -1.90000e-01, 3.00169e-04, -6.06775e-05
1,6.658930e+00, -1.80000e-01, 2.95043e-04, -5.20945e-05
1,6.678980e+00, -1.70000e-01, 3.01361e-04, -4.45843e-05
1,6.699030e+00, -1.60000e-01, 3.00527e-04, -5.04255e-05
1,6.719090e+00, -1.50000e-01, 2.95877e-04, -5.48363e-05
1,6.739140e+00, -1.40000e-01, 2.90751e-04, -6.02007e-05
1,6.759190e+00, -1.30000e-01, 3.00407e-04, -5.54323e-05
1,6.779240e+00, -1.20000e-01, 2.99931e-04, -5.13792e-05
1,6.799290e+00, -1.10000e-01, 3.02434e-04, -5.32866e-05
1,6.819350e+00, -1.00000e-01, 3.09825e-04, -4.75645e-05
1,6.839400e+00, -9.00000e-02, 3.02434e-04, -4.24385e-05
1,6.859450e+00, -8.00000e-02, 2.97546e-04, -5.79357e-05
1,6.879500e+00, -7.00000e-02, 2.93136e-04, -5.10216e-05
1,6.899550e+00, -6.00000e-02, 2.98262e-04, -3.86238e-05
1,6.919610e+00, -5.00000e-02, 2.90275e-04, -6.11544e-05
1,6.939660e+00, -4.00000e-02, 2.98023e-04, -4.63724e-05
