START TIME:2024-04-01 19:12:42
Vd=-0000.500000V
REPEAT,TIME(sec),GATE-VOLT(V),DRAIN-CURRENT(A),GATE-CURRENT(A)
2,1.548608e+01, -2.50000e-01, 1.72257e-04, -6.25849e-05
2,1.553613e+01, -3.00000e-01, 1.81794e-04, -5.60284e-05
2,1.558618e+01, -3.50000e-01, 1.76787e-04, -5.84126e-05
2,1.563623e+01, -4.00000e-01, 1.63436e-04, -7.15256e-05
2,1.568629e+01, -4.50000e-01, 1.70946e-04, -7.34329e-05
2,1.573634e+01, -5.00000e-01, 1.62482e-04, -6.09159e-05
2,1.578639e+01, -5.50000e-01, 1.79410e-04, -7.04527e-05
2,1.583644e+01, -6.00000e-01, 1.63078e-04, -7.52211e-05
2,1.588649e+01, -6.50000e-01, 1.75714e-04, -5.43594e-05
2,1.593655e+01, -7.00000e-01, 1.82629e-04, -5.20945e-05
2,1.598660e+01, -7.50000e-01, 1.70588e-04, -3.58820e-05
2,1.603665e+01, -8.00000e-01, 1.63674e-04, -5.45979e-05
2,1.608670e+01, -8.50000e-01, 1.78337e-04, -5.96046e-05
2,1.613676e+01, -9.00000e-01, 1.60933e-04, -6.31809e-05
2,1.618681e+01, -9.50000e-01, 1.77622e-04, -6.85453e-05
2,1.623686e+01, -1.00000e+00, 1.77026e-04, -6.89030e-05
2,1.628691e+01, -1.05000e+00, 1.83940e-04, -6.78301e-05
2,1.633696e+01, -1.10000e+00, 1.83463e-04, -6.80685e-05
2,1.638702e+01, -1.15000e+00, 1.57475e-04, -5.55515e-05
2,1.643707e+01, -1.20000e+00, 1.71781e-04, -9.20296e-05
2,1.648712e+01, -1.25000e+00, 1.74880e-04, -6.22272e-05
2,1.653717e+01, -1.30000e+00, 1.69396e-04, -5.37634e-05
2,1.658723e+01, -1.35000e+00, 1.72734e-04, -4.31538e-05
2,1.663728e+01, -1.40000e+00, 1.88828e-04, -4.33922e-05
2,1.668733e+01, -1.45000e+00, 1.91808e-04, -7.21216e-05
2,1.673738e+01, -1.50000e+00, 1.81913e-04, -5.24521e-05
2,1.678744e+01, -1.55000e+00, 1.84894e-04, -7.53403e-05
2,1.683749e+01, -1.60000e+00, 1.80840e-04, -6.77109e-05
2,1.688754e+01, -1.65000e+00, 1.66416e-04, -5.31673e-05
2,1.693759e+01, -1.70000e+00, 1.62959e-04, -5.50747e-05
2,1.698764e+01, -1.75000e+00, 1.71542e-04, -4.82798e-05
2,1.703770e+01, -1.80000e+00, 1.73092e-04, -6.34193e-05
2,1.708775e+01, -1.85000e+00, 1.72138e-04, -5.31673e-05
2,1.713780e+01, -1.90000e+00, 1.70588e-04, -5.69820e-05
2,1.718785e+01, -1.95000e+00, 1.76311e-04, -5.79357e-05
2,1.723791e+01, -2.00000e+00, 1.57237e-04, -5.53131e-05
3,1.837765e+01, -2.00000e+00, 1.21832e-04, -1.65737e-03
3,1.842770e+01, -1.95000e+00, 1.84655e-04, -6.12974e-04
3,1.847775e+01, -1.90000e+00, 1.67847e-04, -1.67847e-04
3,1.852781e+01, -1.85000e+00, 1.77503e-04, -3.82662e-05
3,1.857786e+01, -1.80000e+00, 1.81317e-04, -4.26769e-05
3,1.862791e+01, -1.75000e+00, 1.84774e-04, -5.63860e-05
3,1.867796e+01, -1.70000e+00, 1.57595e-04, -6.30617e-05
3,1.872801e+01, -1.65000e+00, 1.63198e-04, -5.38826e-05
3,1.877807e+01, -1.60000e+00, 1.52469e-04, -4.95911e-05
3,1.882812e+01, -1.55000e+00, 1.69039e-04, -5.22137e-05
3,1.887817e+01, -1.50000e+00, 1.83702e-04, -5.34058e-05
3,1.892822e+01, -1.45000e+00, 1.91331e-04, -4.50611e-05
3,1.897828e+01, -1.40000e+00, 1.68085e-04, -5.71012e-05
3,1.902833e+01, -1.35000e+00, 1.81317e-04, -6.06775e-05
3,1.907838e+01, -1.30000e+00, 1.77979e-04, -5.40018e-05
3,1.912843e+01, -1.25000e+00, 1.93954e-04, -4.41074e-05
3,1.917848e+01, -1.20000e+00, 1.94311e-04, -6.80685e-05
3,1.922854e+01, -1.15000e+00, 1.77622e-04, -5.25713e-05
3,1.927859e+01, -1.10000e+00, 1.66655e-04, -6.89030e-05
3,1.932864e+01, -1.05000e+00, 1.65343e-04, -6.60419e-05
3,1.937869e+01, -1.00000e+00, 1.76072e-04, -5.16176e-05
3,1.942874e+01, -9.50000e-01, 1.80125e-04, -5.61476e-05
3,1.947880e+01, -9.00000e-01, 1.80602e-04, -5.71012e-05
3,1.952885e+01, -8.50000e-01, 1.65343e-04, -6.89030e-05
3,1.957890e+01, -8.00000e-01, 1.67131e-04, -5.11408e-05
3,1.962895e+01, -7.50000e-01, 1.70350e-04, -5.07832e-05
3,1.967900e+01, -7.00000e-01, 1.74046e-04, -5.88894e-05
3,1.972906e+01, -6.50000e-01, 1.68681e-04, -6.78301e-05
3,1.977911e+01, -6.00000e-01, 1.74165e-04, -6.75917e-05
3,1.982916e+01, -5.50000e-01, 1.69396e-04, -6.97374e-05
3,1.987921e+01, -5.00000e-01, 1.72377e-04, -6.68764e-05
3,1.992927e+01, -4.50000e-01, 1.59860e-04, -7.55787e-05
3,1.997932e+01, -4.00000e-01, 1.53661e-04, -5.76973e-05
3,2.002937e+01, -3.50000e-01, 1.68681e-04, -7.09295e-05
3,2.007942e+01, -3.00000e-01, 1.40667e-04, -5.11408e-05
3,2.012948e+01, -2.50000e-01, 1.69516e-04, -3.43323e-05
3,2.018004e+01, -2.00000e-01, 1.64151e-04, -3.44515e-05
3,2.023009e+01, -1.50000e-01, 1.63913e-04, -5.18560e-05
3,2.028014e+01, -1.00000e-01, 1.70588e-04, -4.88758e-05
3,2.033020e+01, -5.00000e-02, 1.83344e-04, -5.56707e-05
3,2.038036e+01, 0.00000e+00, 1.70946e-04, -4.49419e-05
3,2.043041e+01, 5.00000e-02, 1.69754e-04, -3.54052e-05
3,2.048046e+01, 1.00000e-01, 1.87278e-04, -3.68357e-05
3,2.053051e+01, 1.50000e-01, 1.61767e-04, -1.64509e-05
3,2.058056e+01, 2.00000e-01, 1.56879e-04, -4.07696e-05
